productId,name,brand,category,price,quantity
20000,Philips T-Shirt 926,Philips,Fashion,3787.59,22
20001,Dell Bed Frame 256,Dell,Furniture,18153.67,177
20002,Philips Smartphone 292,Philips,Electronics,1353.13,87
20003,Sony Bed Frame 290,Sony,Furniture,7812.06,61
20004,Apple Air Fryer 801,Apple,Home Appliances,17631.23,12
20005,Adidas Jeans 434,Adidas,Fashion,20930.2,196
20006,Defy Backpack 717,Defy,Fashion,24101.89,164
20007,Apple Couch 255,Apple,Furniture,17018.97,104
20008,LG Kettle 578,LG,Home Appliances,7930.56,1
20009,Samsung Washing Machine 803,Samsung,Home Appliances,13538.49,15
20010,LG Fridge 123,LG,Home Appliances,3449.82,87
20011,Apple Charger 508,Apple,Accessories,2239.95,188
20012,Philips Sneakers 770,Philips,Fashion,13658.01,183
20013,JBL Backpack 445,JBL,Fashion,23085.2,78
20014,Logitech Microwave 600,Logitech,Home Appliances,22867.28,22
20015,Logitech Air Fryer 546,Logitech,Home Appliances,6781.94,63
20016,Logitech Couch 803,Logitech,Furniture,20261.04,187
20017,Logitech Couch 929,Logitech,Furniture,14552.07,24
20018,JBL Mouse 720,JBL,Accessories,6834.41,102
20019,Philips Bed Frame 532,Philips,Furniture,10083.74,57
20020,Dell Keyboard 896,Dell,Accessories,10799.65,30
20021,Philips Couch 897,Philips,Furniture,13220.74,98
20022,JBL Tablet 164,JBL,Electronics,22589.82,184
20023,Philips Power Bank 801,Philips,Accessories,24229.56,115
20024,Philips Smartphone 861,Philips,Electronics,6980.9,49
20025,HP Desk 495,HP,Furniture,3604.71,181
20026,Philips Mouse 658,Philips,Accessories,20893.59,142
20027,Sony Jacket 788,Sony,Fashion,17577.29,14
20028,Apple Mouse 501,Apple,Accessories,13100.18,99
20029,Defy Bed Frame 427,Defy,Furniture,15778.3,170
20030,Apple Air Fryer 890,Apple,Home Appliances,10442.07,112
20031,Samsung Air Fryer 648,Samsung,Home Appliances,11120.39,116
20032,Defy Fridge 419,Defy,Home Appliances,11004.49,18
20033,LG Kettle 788,LG,Home Appliances,24339.63,77
20034,LG Laptop 302,LG,Electronics,16450.44,74
20035,LG Laptop 927,LG,Electronics,12149.87,96
20036,LG TV 134,LG,Electronics,9680.56,38
20037,HP Mouse 366,HP,Accessories,5827.46,125
20038,Sony Washing Machine 618,Sony,Home Appliances,2538.41,182
20039,Dell Keyboard 507,Dell,Accessories,23672.39,36
20040,Sony Headphones 978,Sony,Electronics,9305.19,80
20041,Defy Bed Frame 844,Defy,Furniture,6579.78,188
20042,Samsung Kettle 388,Samsung,Home Appliances,16029.36,129
20043,Samsung Charger 192,Samsung,Accessories,11667.75,96
20044,Samsung Microwave 165,Samsung,Home Appliances,5342.8,148
20045,Defy Backpack 784,Defy,Fashion,3890.79,91
20046,Nike Smartphone 725,Nike,Electronics,8787.16,78
20047,Sony T-Shirt 414,Sony,Fashion,9068.32,49
20048,Logitech Smartphone 956,Logitech,Electronics,12077.85,87
20049,JBL T-Shirt 839,JBL,Fashion,15382.52,56
20050,Nike Fridge 628,Nike,Home Appliances,19705.12,117
20051,Samsung Charger 937,Samsung,Accessories,21837.69,174
20052,Adidas Kettle 544,Adidas,Home Appliances,14975.74,162
20053,LG Tablet 457,LG,Electronics,7839.26,18
20054,LG Headphones 938,LG,Electronics,16222.76,167
20055,Dell Mouse 692,Dell,Accessories,14468.36,129
20056,Defy Laptop 400,Defy,Electronics,7936.07,189
20057,Defy Office Chair 295,Defy,Furniture,18927.24,179
20058,Dell Laptop 946,Dell,Electronics,8524.89,130
20059,Logitech Laptop 339,Logitech,Electronics,21712.81,104
20060,Defy Power Bank 177,Defy,Accessories,14167.44,170
20061,Logitech Backpack 552,Logitech,Fashion,10843.16,52
20062,Apple Headphones 347,Apple,Electronics,16117.65,68
20063,Sony TV 549,Sony,Electronics,8569.25,198
20064,Sony Smartphone 995,Sony,Electronics,20766.75,158
20065,Defy Couch 287,Defy,Furniture,9615.79,24
20066,HP Charger 974,HP,Accessories,11140.3,135
20067,JBL Office Chair 510,JBL,Furniture,4235.11,65
20068,LG Air Fryer 734,LG,Home Appliances,22462.35,157
20069,Sony Microwave 892,Sony,Home Appliances,21392.52,44
20070,JBL Smartphone 359,JBL,Electronics,5945.01,128
20071,Sony Bed Frame 154,Sony,Furniture,23701.92,66
20072,JBL Power Bank 247,JBL,Accessories,9086.36,179
20073,Sony T-Shirt 852,Sony,Fashion,1737.94,124
20074,LG Backpack 661,LG,Fashion,4738.33,178
20075,Dell Power Bank 616,Dell,Accessories,5941.81,128
20076,Logitech Air Fryer 462,Logitech,Home Appliances,5368.05,84
20077,Apple Power Bank 643,Apple,Accessories,4203.97,22
20078,Apple Office Chair 403,Apple,Furniture,11121.91,127
20079,Defy Charger 689,Defy,Accessories,21754.79,100
20080,Philips Charger 611,Philips,Accessories,5366.29,29
20081,LG Headphones 229,LG,Electronics,19250.07,171
20082,Nike Desk 573,Nike,Furniture,20411.18,84
20083,Logitech T-Shirt 378,Logitech,Fashion,15670.39,58
20084,Sony Kettle 283,Sony,Home Appliances,21450.73,110
20085,HP T-Shirt 829,HP,Fashion,16424.29,35
20086,Apple Tablet 233,Apple,Electronics,16636.71,53
20087,Adidas Tablet 404,Adidas,Electronics,6441.43,116
20088,Samsung Tablet 357,Samsung,Electronics,14388.35,186
20089,LG Backpack 939,LG,Fashion,18234.02,142
20090,HP Bed Frame 182,HP,Furniture,21785.03,61
20091,Adidas Keyboard 119,Adidas,Accessories,800.69,127
20092,Apple Office Chair 513,Apple,Furniture,2823.5,112
20093,LG Power Bank 536,LG,Accessories,17762.73,47
20094,Samsung Sneakers 756,Samsung,Fashion,16665.05,110
20095,Nike Couch 433,Nike,Furniture,3096.91,45
20096,Sony Sneakers 190,Sony,Fashion,6894.98,110
20097,Defy Tablet 259,Defy,Electronics,23956.96,45
20098,Logitech TV 929,Logitech,Electronics,15577.95,190
20099,Adidas Office Chair 624,Adidas,Furniture,19070.32,188
20100,Samsung Bed Frame 990,Samsung,Furniture,16309.67,158
20101,JBL Desk 956,JBL,Furniture,12487.57,195
20102,Samsung Bed Frame 933,Samsung,Furniture,8585.66,183
20103,JBL Laptop 941,JBL,Electronics,293.29,55
20104,Philips Fridge 277,Philips,Home Appliances,17256.74,84
20105,Nike Air Fryer 941,Nike,Home Appliances,21802.71,7
20106,Dell Jacket 329,Dell,Fashion,9524.36,27
20107,LG Desk 399,LG,Furniture,6306.53,188
20108,Defy Jeans 641,Defy,Fashion,3452.48,56
20109,Sony Fridge 285,Sony,Home Appliances,1995.89,88
20110,HP Power Bank 597,HP,Accessories,18642.28,130
20111,Adidas Headphones 672,Adidas,Electronics,15588.75,134
20112,Dell Power Bank 192,Dell,Accessories,21698.64,48
20113,Samsung Washing Machine 759,Samsung,Home Appliances,14848.78,12
20114,Philips Bed Frame 695,Philips,Furniture,12748.32,51
20115,Philips Charger 700,Philips,Accessories,654.22,44
20116,Apple Jeans 627,Apple,Fashion,16378.57,14
20117,Samsung Office Chair 821,Samsung,Furniture,732.85,176
20118,Nike Charger 710,Nike,Accessories,21111.22,135
20119,Apple Washing Machine 262,Apple,Home Appliances,7634.19,4
20120,HP Kettle 738,HP,Home Appliances,24354.65,185
20121,Philips Jeans 563,Philips,Fashion,19861.71,161
20122,Apple Mouse 945,Apple,Accessories,12070.11,126
20123,JBL Sneakers 356,JBL,Fashion,23597.46,160
20124,Defy Mouse 565,Defy,Accessories,17785.27,171
20125,Samsung Tablet 640,Samsung,Electronics,9339.94,132
20126,HP Jeans 471,HP,Fashion,6546.28,132
20127,LG Air Fryer 412,LG,Home Appliances,21527.46,77
20128,Logitech Mouse 398,Logitech,Accessories,15425.06,3
20129,Sony Fridge 286,Sony,Home Appliances,16068.45,15
20130,Sony Air Fryer 894,Sony,Home Appliances,12731.3,173
20131,JBL Sneakers 402,JBL,Fashion,13666.89,18
20132,Defy Laptop 553,Defy,Electronics,13650.63,39
20133,Dell Tablet 947,Dell,Electronics,6758.32,82
20134,HP Microwave 709,HP,Home Appliances,22603.68,189
20135,Philips Fridge 881,Philips,Home Appliances,24208.02,169
20136,Sony Washing Machine 336,Sony,Home Appliances,22072.22,82
20137,Apple TV 607,Apple,Electronics,8890.26,118
20138,Sony Office Chair 726,Sony,Furniture,10201.2,79
20139,LG Tablet 282,LG,Electronics,5642.69,22
20140,Nike TV 528,Nike,Electronics,23882.68,187
20141,Logitech Kettle 642,Logitech,Home Appliances,1823.38,55
20142,Philips Couch 323,Philips,Furniture,23736.95,54
20143,Nike Kettle 380,Nike,Home Appliances,10741.62,140
20144,Dell Kettle 443,Dell,Home Appliances,18975.59,12
20145,Defy Microwave 696,Defy,Home Appliances,21190.22,94
20146,LG Tablet 813,LG,Electronics,836.1,191
20147,Adidas Backpack 526,Adidas,Fashion,15060.98,44
20148,Adidas Power Bank 387,Adidas,Accessories,17973.91,4
20149,JBL Office Chair 848,JBL,Furniture,22490.71,195
20150,Samsung Backpack 195,Samsung,Fashion,3503.07,85
20151,HP Office Chair 809,HP,Furniture,8068.7,90
20152,LG TV 852,LG,Electronics,8022.63,176
20153,Sony Power Bank 588,Sony,Accessories,17785.77,57
20154,Adidas Keyboard 969,Adidas,Accessories,12523.27,87
20155,JBL Bed Frame 415,JBL,Furniture,6494.87,46
20156,Dell Backpack 903,Dell,Fashion,10219.84,132
20157,Apple Keyboard 338,Apple,Accessories,6195.9,37
20158,Adidas Microwave 676,Adidas,Home Appliances,12886.11,62
20159,Nike Mouse 921,Nike,Accessories,4343.4,166
20160,Sony Air Fryer 942,Sony,Home Appliances,7225.0,53
20161,Defy Jeans 378,Defy,Fashion,1530.5,139
20162,Nike Jeans 396,Nike,Fashion,14206.74,114
20163,Apple Desk 579,Apple,Furniture,6793.9,153
20164,Samsung Tablet 993,Samsung,Electronics,7913.36,173
20165,Logitech Office Chair 651,Logitech,Furniture,20574.44,161
20166,Nike Power Bank 664,Nike,Accessories,14305.81,139
20167,JBL Headphones 729,JBL,Electronics,3909.22,183
20168,HP Laptop 557,HP,Electronics,9784.04,46
20169,Samsung Mouse 537,Samsung,Accessories,23087.58,23
20170,Defy Smartphone 930,Defy,Electronics,24704.3,135
20171,Logitech Couch 837,Logitech,Furniture,2425.96,184
20172,Sony Tablet 229,Sony,Electronics,12626.17,112
20173,LG Jacket 215,LG,Fashion,14991.46,191
20174,LG Smartphone 421,LG,Electronics,9580.18,35
20175,Samsung Washing Machine 243,Samsung,Home Appliances,7887.96,80
20176,Logitech Bed Frame 500,Logitech,Furniture,2545.13,41
20177,Philips Bed Frame 943,Philips,Furniture,3177.84,13
20178,Logitech Microwave 169,Logitech,Home Appliances,3209.75,10
20179,Dell Smartphone 916,Dell,Electronics,3603.36,128
20180,Apple Couch 781,Apple,Furniture,2425.79,7
20181,Adidas Couch 196,Adidas,Furniture,10080.4,191
20182,Philips Jacket 228,Philips,Fashion,3367.9,109
20183,HP Keyboard 422,HP,Accessories,4126.77,109
20184,Samsung Smartphone 783,Samsung,Electronics,21131.69,119
20185,Nike Smartphone 204,Nike,Electronics,15252.66,65
20186,LG Keyboard 601,LG,Accessories,24579.4,75
20187,HP Kettle 340,HP,Home Appliances,14688.14,4
20188,Samsung T-Shirt 142,Samsung,Fashion,14030.86,10
20189,LG Backpack 876,LG,Fashion,5038.13,144
20190,Philips Bed Frame 835,Philips,Furniture,14363.17,5
20191,Defy Kettle 340,Defy,Home Appliances,15895.52,180
20192,Sony Charger 890,Sony,Accessories,12020.97,89
20193,JBL Jacket 501,JBL,Fashion,20683.95,102
20194,Adidas Mouse 608,Adidas,Accessories,8378.79,114
20195,Nike Fridge 395,Nike,Home Appliances,14829.96,85
20196,HP Jeans 438,HP,Fashion,10818.08,57
20197,Philips Office Chair 560,Philips,Furniture,900.54,167
20198,Philips Keyboard 833,Philips,Accessories,3253.47,117
20199,Dell Mouse 476,Dell,Accessories,22855.88,135
20200,Defy Sneakers 992,Defy,Fashion,9802.34,24
20201,Dell Laptop 199,Dell,Electronics,12133.42,7
20202,Apple Smartphone 172,Apple,Electronics,16098.01,73
20203,Dell Power Bank 529,Dell,Accessories,2582.54,107
20204,Dell Air Fryer 925,Dell,Home Appliances,2539.87,133
20205,Adidas Smartphone 519,Adidas,Electronics,24252.77,156
20206,Dell Keyboard 773,Dell,Accessories,13414.81,94
20207,Sony Smartphone 824,Sony,Electronics,15542.58,163
20208,Adidas Jacket 121,Adidas,Fashion,16985.94,109
20209,Nike TV 388,Nike,Electronics,22238.72,157
20210,HP Backpack 108,HP,Fashion,11587.64,70
20211,Logitech Jacket 629,Logitech,Fashion,1526.15,127
20212,JBL Bed Frame 655,JBL,Furniture,14973.1,115
20213,Dell Office Chair 501,Dell,Furniture,12157.53,76
20214,Defy Bed Frame 428,Defy,Furniture,22824.65,82
20215,Dell Backpack 256,Dell,Fashion,16004.42,167
20216,LG Desk 119,LG,Furniture,24024.8,68
20217,Nike Desk 125,Nike,Furniture,12559.83,78
20218,Adidas Jacket 159,Adidas,Fashion,7837.59,187
20219,Apple Power Bank 338,Apple,Accessories,12366.39,107
20220,Dell T-Shirt 795,Dell,Fashion,3152.93,58
20221,Dell Power Bank 499,Dell,Accessories,23163.51,181
20222,Apple Desk 886,Apple,Furniture,22536.17,194
20223,Dell Jacket 753,Dell,Fashion,24162.41,76
20224,Samsung Smartphone 824,Samsung,Electronics,15115.13,2
20225,HP Tablet 840,HP,Electronics,5427.18,62
20226,JBL Jeans 587,JBL,Fashion,3955.27,150
20227,Dell Fridge 894,Dell,Home Appliances,9877.15,182
20228,Samsung T-Shirt 806,Samsung,Fashion,9301.98,108
20229,Adidas Jeans 602,Adidas,Fashion,17049.66,71
20230,HP Desk 793,HP,Furniture,21409.57,160
20231,HP Air Fryer 534,HP,Home Appliances,18781.34,37
20232,Samsung Microwave 252,Samsung,Home Appliances,692.28,157
20233,Adidas Mouse 866,Adidas,Accessories,3931.21,77
20234,Philips Washing Machine 498,Philips,Home Appliances,13601.23,51
20235,JBL Charger 526,JBL,Accessories,12809.5,98
20236,Adidas Microwave 737,Adidas,Home Appliances,24817.16,77
20237,Nike Fridge 694,Nike,Home Appliances,19343.29,45
20238,Apple Mouse 577,Apple,Accessories,23548.29,72
20239,Logitech Air Fryer 418,Logitech,Home Appliances,1070.35,55
20240,Adidas Smartphone 201,Adidas,Electronics,14415.59,26
20241,Samsung Couch 504,Samsung,Furniture,806.21,150
20242,Apple TV 105,Apple,Electronics,9862.67,123
20243,Samsung T-Shirt 986,Samsung,Fashion,11400.84,107
20244,Samsung Laptop 688,Samsung,Electronics,8677.64,123
20245,Samsung Tablet 661,Samsung,Electronics,11198.68,119
20246,Apple Laptop 903,Apple,Electronics,17632.38,17
20247,HP Headphones 592,HP,Electronics,2470.68,145
20248,JBL Fridge 584,JBL,Home Appliances,7967.26,1
20249,Sony T-Shirt 137,Sony,Fashion,8490.74,2
20250,Nike Charger 609,Nike,Accessories,8077.06,14
20251,Defy Bed Frame 838,Defy,Furniture,4052.07,180
20252,LG Keyboard 401,LG,Accessories,7518.17,189
20253,Defy Bed Frame 394,Defy,Furniture,11943.85,83
20254,LG Charger 972,LG,Accessories,16797.08,37
20255,Defy Fridge 876,Defy,Home Appliances,8610.9,153
20256,Dell Charger 492,Dell,Accessories,21241.48,112
20257,Apple Charger 904,Apple,Accessories,23178.25,31
20258,Sony Fridge 283,Sony,Home Appliances,14891.14,17
